Date,water intake (oz),work day,bike ride (min),Shift time (hrs),task amount
2025-04-16,54,no,N/A,N/A,N/A
2025-04-17,60,yes,6,3.5,9
2025-04-18,65,yes,7,3.5,6
2025-04-19,70,no,N/A,N/A,N/A
2025-04-20,50,no,N/A,N/A,N/A
2025-04-21,75,yes,6,4,9
2025-04-22,65,yes,8,3.5,7
2025-04-23,50,no,N/A,N/A,N/A
2025-04-24,70,yes,6,3.5,7
2025-04-25,64,yes,6,3.5,6
2025-04-26,82,yes,7,4,
2025-04-27,72,yes,6,3.5,
2025-04-28,60,no,6,N/A,N/A
2025-04-29,75,yes,6,4,
2025-04-30,67,no,6,N/A,N/A
2025-05-01,69,no,6,N/A,N/A
2025-05-02,54,no,6,N/A,N/A
2025-05-03,67,yes,7,3.5,7
2025-05-04,73,yes,7,4,9
2025-05-05,56,yes,7,3.5,8
2025-05-06,60,no,N/A,,N/A
2025-05-07,78,yes,6,,8
2025-05-08,70,yes,7,,7
2025-05-09,86,yes,7,,9
2025-05-10,50,no,N/A,N/A,N/A
2025-05-11,63,no,N/A,N/A,N/A
2025-05-12,60,no,N/A,N/A,N/A
2025-05-13,75,yes,6,4,7
2025-05-14,57,no,N/A,N/A,N/A
2025-05-15,80,yes,8,3.5,8
2025-05-16,68,yes,7,3.5,
2025-05-17,70,no,N/A,N/A,N/A
2025-05-18,65,no,N/A,N/A,N/A
2025-05-19,68,yes,6,4,8
2025-05-20,70,no,N/A,N/A,N/A
2025-05-21,85,yes,7,4,9